	YEAR	MONTH	DAY	HOUR	MIN	  LAT	LON	P_hail_BC2019	MIN10PCT	MIN19PCT	MIN37PCT	MIN85PCT	FLAG
	2015	03	03	10	15	 -19.67	 125.50	0.202		313.5502	272.4226	209.2302	 91.6472	1
	2015	03	03	10	15	 -23.97	 118.03	0.285		287.6839	267.5333	200.9209	 78.6508	1
	2015	03	06	07	38	 -17.58	 141.48	0.592		293.7444	257.0779	177.9088	 71.8933	1
	2015	03	06	07	41	 -20.17	 146.36	0.238		289.9154	267.5322	212.1848	114.7535	1
	2015	03	06	07	41	 -20.17	 147.20	0.361		290.2029	261.0269	204.1456	 93.3458	1
	2015	03	06	07	41	 -21.78	 148.39	0.476		284.3710	260.7597	189.2421	 72.6788	1
	2015	03	06	19	04	 -16.65	 139.12	0.211		284.6527	270.5642	206.0780	 84.1872	1
	2015	03	08	07	31	 -24.61	 146.51	0.318		291.5709	262.5041	194.5596	 88.9262	1
	2015	03	17	14	08	 -30.48	 149.16	0.303		289.2711	257.9627	215.6793	139.9696	0
	2015	03	22	12	57	 -26.25	 149.15	0.337		279.6960	263.2442	205.3598	 96.7896	1
	2015	03	23	15	14	 -17.40	 123.83	0.442		285.6469	259.9959	190.3670	 81.7277	1
	2015	04	01	12	04	 -25.79	 121.89	0.776		284.1316	223.5778	181.6359	110.4316	0
	2015	04	07	08	23	 -38.06	 149.70	0.422		271.2320	261.7260	207.0866	116.3923	1
	2015	04	25	17	02	 -33.07	 152.59	0.306		274.6597	263.3082	225.2052	145.1967	0
	2015	04	30	02	23	 -27.99	 145.60	0.290		282.4785	261.7969	220.7184	156.1594	0
	2015	08	22	15	26	 -35.61	 154.47	0.201		266.9458	269.1072	225.8045	123.3007	1
	2015	08	23	16	09	 -29.79	 150.31	0.212		276.2697	259.0710	225.4507	156.1814	0
	2015	08	24	15	15	 -33.98	 153.07	0.580		268.5721	259.1284	191.7376	 91.1358	1
	2015	09	07	10	57	 -33.89	 153.70	0.476		267.4018	256.4605	215.0003	119.5814	1
	2015	09	16	22	50	 -30.73	 152.93	0.242		275.1909	257.7794	210.7815	120.7424	1
	2015	09	21	21	38	 -33.81	 152.76	0.276		270.4315	261.8152	225.5381	139.1367	0
	2015	09	21	21	39	 -34.82	 153.89	0.202		269.9704	263.6116	232.8569	145.6060	1
	2015	10	22	11	55	 -30.07	 154.77	0.391		272.4935	260.4963	193.0700	 89.4032	1
	2015	10	27	10	42	 -24.05	 149.60	0.231		288.2644	264.0595	215.6585	 97.5543	1
	2015	10	31	10	24	 -31.91	 145.92	0.460		288.2793	253.5465	222.0381	150.7404	0
	2015	11	01	11	03	 -30.11	 124.14	0.245		296.1185	264.4366	223.8896	141.2568	0
	2015	11	02	10	08	 -17.57	 126.86	0.300		295.2713	263.9773	203.3270	101.1899	1
	2015	11	02	10	08	 -18.50	 126.81	0.211		303.4371	263.6429	209.2915	113.3849	1
	2015	11	02	10	10	 -21.27	 134.05	0.211		308.4428	270.8349	213.7066	118.3909	0
	2015	11	02	10	11	 -22.75	 135.01	0.686		292.2148	243.3051	189.6129	 89.8317	1
	2015	11	04	08	29	 -28.11	 152.69	0.225		283.7809	268.6671	212.5870	113.2825	1
	2015	11	04	09	58	 -15.82	 125.71	0.200		291.8684	268.3978	217.5252	112.7662	1
	2015	11	05	09	06	 -16.35	 130.18	0.282		298.3035	262.9202	204.9170	122.8130	1
	2015	11	07	07	23	 -20.83	 148.12	0.508		276.2720	249.5457	196.3004	 97.3460	1
	2015	11	07	07	25	 -25.79	 151.09	0.248		278.0191	255.0503	215.8748	130.3378	0
	2015	11	07	17	11	 -27.39	 154.19	0.250		272.8380	265.6162	206.4865	112.1106	1
	2015	11	09	07	13	 -19.97	 147.17	0.271		284.0716	266.1386	217.7601	119.5879	0
	2015	11	09	08	46	 -19.96	 127.20	0.515		315.8233	258.2567	192.8187	 93.4935	1
	2015	11	09	08	46	 -20.96	 127.52	0.335		320.9770	263.8682	208.3606	114.1351	1
	2015	11	09	08	47	 -23.08	 127.19	0.293		287.6015	265.4878	206.4695	108.3522	0
	2015	11	10	07	53	 -17.47	 127.65	0.205		297.7461	269.2918	205.6040	 93.0434	1
	2015	11	11	06	59	 -12.86	 132.28	0.332		291.2464	264.3354	195.2432	 72.5279	1
	2015	11	11	07	00	 -14.59	 133.38	0.233		284.8022	263.6340	209.2600	105.2551	1
	2015	11	13	06	48	 -14.67	 126.89	0.461		293.8084	257.5897	195.6955	 80.1125	1
	2015	11	14	06	02	 -28.83	 151.65	0.259		283.5630	265.2979	203.4871	106.1933	1
	2015	11	14	17	22	 -18.30	 129.26	0.289		295.8844	261.8793	216.8061	114.4844	1
	2015	11	15	05	08	 -21.80	 149.01	0.222		288.5925	265.7742	214.9826	102.1587	1
	2015	11	16	05	46	 -11.44	 130.53	0.361		284.9600	262.4973	194.8055	 78.7725	1
	2015	11	16	05	46	 -12.38	 131.89	0.250		302.7022	264.9006	208.1111	106.9466	1
	2015	11	17	06	28	 -17.13	 122.76	0.393		312.2642	259.1174	192.1519	 95.3098	1
	2015	11	25	04	09	 -16.90	 124.18	0.681		297.7344	254.7103	173.6130	 81.0558	1
	2015	11	25	04	10	 -18.94	 124.54	0.349		309.6908	260.9206	200.4892	 92.6925	1
	2015	11	26	11	31	 -31.59	 154.76	0.645		264.0783	234.4493	185.0812	100.7608	1
	2015	11	30	12	42	 -18.94	 131.10	0.212		296.8911	262.9179	222.6070	141.9088	0
	2015	12	01	11	50	 -20.56	 134.46	0.225		288.2570	261.2610	219.0361	116.7108	1
	2015	12	02	12	28	 -25.13	 121.73	0.329		291.0232	257.0629	206.9327	140.7770	0
	2015	12	05	01	42	 -33.11	 123.31	0.264		277.3071	263.3575	211.9777	107.7561	1
	2015	12	06	10	36	 -26.06	 128.95	0.214		299.8445	267.2716	208.5451	106.2354	1
	2015	12	08	08	50	 -38.30	 147.49	0.234		274.6935	261.1607	220.3821	152.1397	0
	2015	12	10	22	08	 -39.63	 151.82	0.486		268.7495	256.1082	212.7383	121.9004	1
	2015	12	11	07	51	 -28.66	 152.97	0.271		278.3569	263.0959	214.6784	124.9197	1
	2015	12	15	20	56	 -34.81	 151.10	0.362		277.4103	264.3564	202.9253	 94.3124	1
	2015	12	15	20	56	 -35.73	 150.50	0.309		274.8341	260.7643	219.3621	153.1132	0
	2015	12	16	06	39	 -30.19	 150.45	0.246		282.4037	260.4684	216.5015	142.1145	0
	2015	12	18	08	05	 -14.04	 127.36	0.269		299.1493	268.9767	195.1403	 63.8004	1
	2015	12	19	07	09	 -29.41	 127.26	0.408		325.3792	260.6588	201.8532	112.3680	1
	2015	12	20	06	18	 -30.25	 138.56	0.533		291.1990	259.2531	185.1842	 87.0924	1
	2016	01	13	12	47	 -21.32	 135.73	0.258		305.9724	265.9720	211.0637	 93.8077	1
	2016	01	17	12	23	 -23.59	 121.65	0.269		301.1142	266.8672	212.6976	 91.0716	1
